         3015946 function calls (3015882 primitive calls) in 21.980 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.12/tokenize.py:352(detect_encoding)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_compiler.py:511(_compile_info)
        5    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_parser.py:98(closegroup)
        1    0.000    0.000    0.000    0.000 /home/sasamb4ikk/PycharmProjects/sasamb4ik_deep_python_24_vk/.venv/lib/python3.12/site-packages/memory_profiler.py:775(enable_by_count)
  176/157    0.000    0.000    0.000    0.000 {built-in method builtins.len}
      222    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.000    0.000 /home/sasamb4ikk/PycharmProjects/sasamb4ik_deep_python_24_vk/.venv/lib/python3.12/site-packages/memory_profiler.py:842(enable)
        1    0.000    0.000    0.000    0.000 {built-in method _io.open}
        1    0.000    0.000    0.000    0.000 /home/sasamb4ikk/PycharmProjects/sasamb4ik_deep_python_24_vk/.venv/lib/python3.12/site-packages/memory_profiler.py:702(__init__)
      153    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
        8    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_compiler.py:243(_optimize_charset)
        1    0.000    0.000    0.000    0.000 /home/sasamb4ikk/PycharmProjects/sasamb4ik_deep_python_24_vk/.venv/lib/python3.12/site-packages/memory_profiler.py:782(disable_by_count)
        1    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.12/enum.py:1562(__and__)
       43    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_parser.py:261(get)
        9    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
       17    0.000    0.000    0.000    0.000 /usr/lib/python3.12/collections/__init__.py:447(_make)
        1    0.000    0.000    0.000    0.000 /home/sasamb4ikk/PycharmProjects/sasamb4ik_deep_python_24_vk/.venv/lib/python3.12/site-packages/memory_profiler.py:849(disable)
       38    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_parser.py:176(append)
        1    0.000    0.000    0.000    0.000 /home/sasamb4ikk/PycharmProjects/sasamb4ik_deep_python_24_vk/.venv/lib/python3.12/site-packages/memory_profiler.py:748(wrap_function)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.12/asyncio/coroutines.py:20(iscoroutinefunction)
       12    0.000    0.000    0.000    0.000 {built-in method time.time}
       34    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_parser.py:164(__len__)
       55    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_parser.py:240(__next)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.12/inspect.py:420(iscoroutinefunction)
       33    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_parser.py:256(match)
       36    0.000    0.000    0.000    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.000    0.000 /home/sasamb4ikk/PycharmProjects/sasamb4ik_deep_python_24_vk/.venv/lib/python3.12/site-packages/memory_profiler.py:1201(choose_backend)
        3    0.000    0.000    0.000    0.000 <frozen codecs>:319(decode)
        7    0.000    0.000    0.000    0.000 {method 'write' of '_io.TextIOWrapper' objects}
       17    0.000    0.000    0.000    0.000 /usr/lib/python3.12/inspect.py:1189(tokeneater)
        8    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_compiler.py:216(_compile_charset)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.12/inspect.py:747(unwrap)
      4/2    0.000    0.000    0.000    0.000 /usr/lib/python3.12/typing.py:3278(__getattribute__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.12/tokenize.py:382(find_cookie)
        5    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_parser.py:86(opengroup)
       18    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_parser.py:293(tell)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.12/tokenize.py:376(read_or_stop)
        1    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
        5    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_compiler.py:398(_simple)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.12/contextlib.py:299(helper)
        3    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
        1    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
        1    0.000    0.000    0.000    0.000 {method 'readline' of '_io.BufferedReader' objects}
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.12/enum.py:726(__call__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.12/inspect.py:384(_has_code_flag)
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.12/enum.py:1544(_get_value)
        3    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
        8    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_parser.py:372(_escape)
       13    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_parser.py:83(groups)
        2    0.000    0.000    0.000    0.000 /home/sasamb4ikk/PycharmProjects/sasamb4ik_deep_python_24_vk/.venv/lib/python3.12/site-packages/memory_profiler.py:689(items)
       17    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0xa43b40}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.12/contextlib.py:104(__init__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_compiler.py:467(_get_charset_prefix)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_parser.py:449(_uniq)
       10    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
       18    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_parser.py:113(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method posix.readlink}
        4    0.000    0.000    0.000    0.000 /home/sasamb4ikk/PycharmProjects/sasamb4ik_deep_python_24_vk/.venv/lib/python3.12/site-packages/memory_profiler.py:695(<genexpr>)
       19    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_parser.py:231(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.12/inspect.py:468(istraceback)
        1    0.000    0.000    0.000    0.000 <frozen codecs>:309(__init__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.12/inspect.py:405(_has_coroutine_mark)
        1    0.000    0.000    0.000    0.000 /home/sasamb4ikk/PycharmProjects/sasamb4ik_deep_python_24_vk/.venv/lib/python3.12/site-packages/memory_profiler.py:640(__init__)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.12/inspect.py:492(iscode)
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.12/inspect.py:299(ismethod)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_compiler.py:436(_get_literal_prefix)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.12/inspect.py:1180(__init__)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.12/enum.py:1129(__new__)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.12/inspect.py:478(isframe)
        5    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_compiler.py:31(_combine_flags)
        1    0.000    0.000    0.000    0.000 {method 'seek' of '_io.BufferedReader' objects}
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_compiler.py:570(isstring)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_parser.py:953(fix_flags)
        1    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
        4    0.000    0.000    0.000    0.000 {built-in method builtins.max}
        6    0.000    0.000    0.000    0.000 /home/sasamb4ikk/PycharmProjects/sasamb4ik_deep_python_24_vk/.venv/lib/python3.12/site-packages/memory_profiler.py:1215(<genexpr>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.12/tokenize.py:488(generate_tokens)
        1    0.000    0.000    0.000    0.000 {method 'startswith' of 'bytes' objects}
        5    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_parser.py:172(__setitem__)
        1    0.000    0.000    0.000    0.000 {built-in method fromkeys}
        2    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.12/inspect.py:371(isfunction)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.12/functools.py:421(_unwrap_partial)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.id}
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.12/inspect.py:295(isclass)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.12/linecache.py:52(checkcache)
        1    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {built-in method sys.getrecursionlimit}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_parser.py:77(__init__)
        1    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_compiler.py:428(_get_iscased)
        1    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
        1    0.000    0.000    0.000    0.000 {built-in method sys.gettrace}
        1    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
        1    0.000    0.000    0.000    0.000 <frozen codecs>:260(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.iter}


